Kecamatan,MNDWI,NDWI,BUI,NDBI,NDTI,UI,VIBI,ARVI,EVI,GNDVI,LAI,NDVI,SAVI,SIPI,residential_x,secondary_x,service_x,tertiary_x,track_x,unclassified_x,living_street_x,footway_x,path_x,motorway_x,motorway_link_x,services_x,trunk_x,trunk_link_x,primary_x,proposed_x,construction_x,secondary_link_x,primary_link_x,tertiary_link_x,pedestrian_x,raceway_x,cycleway_x,steps_x,corridor_x,road_x,residential_y,secondary_y,service_y,tertiary_y,track_y,unclassified_y,living_street_y,footway_y,path_y,motorway_y,motorway_link_y,services_y,trunk_y,trunk_link_y,primary_y,proposed_y,construction_y,secondary_link_y,primary_link_y,tertiary_link_y,pedestrian_y,raceway_y,cycleway_y,steps_y,corridor_y,road_y,sum,min,max,mean_x,median,std,CO_column_number_density,H2O_column_number_density,NO2_column_number_density,SO2_column_number_density,geo_id,rwi_weight,LST_Day_1km,mean_y,Trees_x,Grassland_x,Cropland_x,Built-up_x,Shrubland_x,Barren Sparse Vegetation_x,Open Water_x,Herbaceous Wetland_x,Mangroves_x,Trees_y,Grassland_y,Cropland_y,Built-up_y,Shrubland_y,Barren Sparse Vegetation_y,Open Water_y,Herbaceous Wetland_y,Mangroves_y,Trees_x,Crops_x,Shrub and Scrub_x,Built Area_x,Cloud_x,Water_x,Grass_x,Flooded Vegetation_x,Bare Ground_x,Trees_y,Crops_y,Shrub and Scrub_y,Built Area_y,Cloud_y,Water_y,Grass_y,Flooded Vegetation_y,Bare Ground_y
1601130,-0.049850166,-0.24959171,1657.287581,-0.207130853,0.23710107,79.28691475,0.79282173,0.224374067,0.405579265,0.24959171,1.349385782,0.299304978,0.448902582,0.771914784,1618,22,239,44,65,64,22,0,9,0.0,0.0,0.0,14,0,6,0.0,0,0,0,0,0,0,0,0,0,,312219.608,7214.407,39409.241,18430.795,52248.853,58872.503,1840.879,0.0,1027.004,0.0,0.0,0.0,35517.089,0.0,5356.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1277.565796,0.27514106,13.44780445,1.895498213,0.78238523,2.486582107,0.029087034,3819.580922,4.59e-05,2.25e-05,1601130,0.559726489,31.01307613,41.24981087,132.9559,1.2782,0.0,7.0522,0.0,1.9544,0.0,0.0,0.0,0.9282,0.0089,0.0,0.0492,0.0,0.0136,0.0,0.0,0.0,110.6922,0.6373,5.9291,24.2066,0.0,0.6566,0.9907,0.0,0.0,0.7735,0.0045,0.0414,0.1691,0.0,0.0046,0.0069,0.0,0.0
1601131,-0.042441776,-0.239016693,1724.842694,-0.203510695,0.233105646,79.64893052,0.796489304,0.216954156,0.396592737,0.239016693,1.316872524,0.286838954,0.430205791,0.719545026,293,0,20,0,18,57,0,0,0,0.0,0.0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,,131737.242,0.0,1489.098,0.0,7598.384,64263.131,0.0,0.0,0.0,0.0,0.0,0.0,8102.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,446.791626,0.325134605,2.584480524,0.650351712,0.558726251,0.28827037,0.029253219,3757.403334,4.52e-05,8.32e-06,1601131,0.07578834,30.16631359,41.14226761,145.9205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.5233,0.0,8.4585,1.9815,0.0,0.0,0.0,0.0,0.0,0.9285,0.0,0.0579,0.0136,0.0,0.0,0.0,0.0,0.0
1601140,-0.046102562,-0.281893633,1490.235436,-0.247222454,0.260880067,75.27775432,0.752777542,0.261000728,0.46420648,0.281893633,1.561499044,0.34103179,0.51148628,0.778028296,334,10,173,3,50,3,16,0,2,0.0,0.0,0.0,16,1,0,0.0,0,0,0,0,0,0,0,0,0,,73115.649,15996.791,119502.187,6476.734,61524.817,5055.443,1872.679,0.0,388.322,0.0,0.0,0.0,16802.352,34.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,317.1293335,0.250590682,8.746494293,0.670463707,0.425177932,0.849215275,0.02917109,3762.783658,4.69e-05,2.8e-05,1601140,0.103518048,29.88304693,42.76935734,100.2404,0.0,0.0,1.189,0.0,0.0233,0.0,0.0,0.0,0.9881,0.0,0.0,0.0117,0.0,0.0002,0.0,0.0,0.0,96.8832,2.0672,0.0971,2.207,0.0,0.101,0.0,0.0,0.0,0.9559,0.0204,0.001,0.0218,0.0,0.001,0.0,0.0,0.0
1602010,0.022158919,-0.218491959,1654.279424,-0.245239033,0.220086922,75.47609666,0.754605944,0.191077157,0.355068618,0.218491959,1.166638258,0.257447807,0.38612454,0.75867144,807,9,71,21,4,25,0,0,2,0.0,0.0,0.0,7,0,0,0.0,0,0,0,0,0,0,0,0,0,,271815.717,58986.87,39707.621,80123.821,4283.343,73269.487,0.0,0.0,289.113,0.0,0.0,0.0,48990.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1334.089844,0.344705224,7.516464233,0.962546785,0.705471337,0.699597933,0.029597714,3852.516495,4.4e-05,6.44e-07,1602010,-0.193596659,30.2083855,42.01439064,215.7496,0.0,77.5693,1.9822,0.0,0.0,0.0,0.0,0.0,0.7306,0.0,0.2627,0.0067,0.0,0.0,0.0,0.0,0.0,145.8817,126.55,0.9911,19.0838,0.0,0.0,1.5119,0.9911,0.0,0.4945,0.429,0.0034,0.0647,0.0,0.0,0.0051,0.0034,0.0
1602011,0.026102225,-0.226992195,1613.7115,-0.258077893,0.224933146,74.19221085,0.741703486,0.203678235,0.373800954,0.226992195,1.234411852,0.271321874,0.406932214,0.742175775,663,0,67,27,632,108,0,0,47,2.0,0.0,0.0,13,0,0,0.0,0,0,0,0,0,0,0,0,0,,249965.074,0.0,12906.253,77907.171,896073.001,130039.143,0.0,0.0,37120.811,31337.328,0.0,0.0,47291.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1384.01123,0.233799651,5.186482906,0.583724686,0.454805732,0.392956185,0.029969422,3971.50442,4.39e-05,-5.31e-06,1602011,-0.200406932,30.04934313,42.11701098,427.6243,9.0196,67.8414,0.9912,0.0,0.9915,0.0,0.0,0.0,0.8443,0.0178,0.1339,0.002,0.0,0.002,0.0,0.0,0.0,262.9657,162.7751,21.6097,20.8862,0.0,0.9912,10.1888,26.7557,0.0,0.5195,0.3216,0.0427,0.0413,0.0,0.002,0.0201,0.0529,0.0
1602020,0.032959647,-0.237085249,1532.857285,-0.276406553,0.223034449,72.35934476,0.723344807,0.214133668,0.391691971,0.237085249,1.299141551,0.282783403,0.424122364,0.696892666,496,0,89,5,3,63,0,0,2,2.0,0.0,0.0,7,0,0,0.0,0,0,0,0,0,0,0,0,0,,245135.511,0.0,27079.985,15133.796,5447.693,161754.8,0.0,0.0,193.431,62626.503,0.0,0.0,15982.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1614.653564,0.263802946,3.219957829,0.536608031,0.443207294,0.301373174,0.029571242,3878.655431,4.34e-05,-1.01e-06,1602020,-0.103996037,29.36036818,41.49730064,551.6525,84.4432,3.9914,0.6062,1.9823,0.0,0.0,0.0,0.0,0.8584,0.1314,0.0062,0.0009,0.0031,0.0,0.0,0.0,0.0,546.6427,66.347,16.8804,8.0523,0.0,0.0,4.4345,0.0,0.0,0.851,0.1033,0.0263,0.0125,0.0,0.0,0.0069,0.0,0.0
1602021,0.130514435,-0.162868348,1634.989236,-0.294164325,0.180782637,70.58356757,0.705538058,0.154414246,0.285588072,0.162868348,0.915257645,0.201108742,0.301623989,0.540723484,442,5,205,23,87,64,0,0,9,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,228572.221,31432.217,89918.686,89996.412,43667.01,138581.777,0.0,0.0,2177.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3522.389648,0.195539087,8.631258011,0.369727055,0.341244549,0.19739883,0.029040127,4020.462266,4.25e-05,1.67e-05,1602021,-0.24928301,28.98583188,39.81566409,1017.9085,465.0234,144.6738,0.8783,112.3861,73.6943,137.271,58.3574,20.8924,0.5012,0.229,0.0712,0.0004,0.0553,0.0363,0.0676,0.0287,0.0103,1181.7284,446.0273,122.0754,4.4786,1.9825,130.1747,94.4136,49.0152,0.9911,0.5819,0.2196,0.0601,0.0022,0.001,0.0641,0.0465,0.0241,0.0005
1602022,-0.013003817,-0.226351697,1713.494405,-0.218694233,0.225732933,78.13057686,0.781087316,0.202361294,0.368730697,0.226351697,1.21606766,0.269394383,0.40404117,0.756887373,913,11,26,51,47,23,0,0,1,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,356182.821,34864.32,8137.641,100183.278,21625.991,59984.888,0.0,0.0,218.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1461.353027,0.309084654,3.334909201,0.642918182,0.511987567,0.361942075,0.029654877,3822.052101,4.42e-05,1.74e-06,1602022,-0.213125765,30.35040349,42.20715021,483.7492,0.0,0.6643,0.0,0.0,0.0,0.0,0.0,0.0,0.9986,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,423.312,13.2688,24.485,18.9263,0.0,0.0,4.6313,0.0,0.0,0.8735,0.0274,0.0505,0.0391,0.0,0.0,0.0096,0.0,0.0
1602023,0.032093337,-0.242623461,1522.606529,-0.281853091,0.224255043,71.8146909,0.717971855,0.217614415,0.399837254,0.242623461,1.328611186,0.286475024,0.429659876,0.72583973,491,0,128,16,205,75,0,0,18,6.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,246906.142,0.0,48555.444,51264.791,282334.721,174838.076,0.0,0.0,10573.873,94027.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1606.74939,0.294941604,7.835784912,0.63785208,0.488183975,0.492458276,0.029667123,3936.156569,4.3e-05,8.17e-06,1602023,-0.176625216,29.53733067,41.46297447,477.3541,34.5413,16.1044,0.0,0.0,2.9737,0.0,0.0,0.0,0.899,0.0651,0.0303,0.0,0.0,0.0056,0.0,0.0,0.0,366.3672,120.491,21.096,8.7963,0.9911,0.0,6.6624,6.9388,0.0,0.6895,0.2268,0.0397,0.0166,0.0019,0.0,0.0125,0.0131,0.0
1602030,0.117726886,-0.191958018,1497.897765,-0.310020472,0.192807568,68.99795285,0.689786586,0.176489964,0.319200203,0.191958018,1.036866333,0.232537328,0.348760418,0.621119128,445,7,78,3,42,87,0,1,87,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,94938.933,80259.992,121141.01,2220.611,86314.462,108422.594,0.0,33.919,14555.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7479.237305,0.217530921,32.7337532,0.358733623,0.341847926,0.37452874,0.029250997,3993.39391,4.13e-05,1.03e-05,1602030,-0.33488609,28.96265539,39.9452154,1970.2419,842.0546,565.7372,2.3179,292.876,527.8435,73.2558,40.3607,139.4584,0.4423,0.189,0.127,0.0005,0.0658,0.1185,0.0164,0.0091,0.0313,2876.8366,1090.4381,134.0625,7.9805,0.0,71.4214,213.6055,59.572,0.0,0.6459,0.2448,0.0301,0.0018,0.0,0.016,0.048,0.0134,0.0
