idkec;nmkec;NDTI
1671021;KERTAPATI;0.196764216
1671022;JAKABARING;0.16602071
1671030;SEBERANG ULU II;0.147278523
1671031;PLAJU;0.175889329
1671040;ILIR BARAT I;0.192484154
1671041;BUKIT KECIL;0.133644136
1671050;ILIR TIMUR I;0.12668002
1671051;KEMUNING;0.134933855
1671060;ILIR TIMUR II;0.145706577
1671061;KALIDONI;0.172664948
1671062;ILIR TIMUR TIGA;0.143193809
1671070;SAKO;0.168270211
1671071;SEMATANG BORANG;0.194978047
1671080;SUKARAMI;0.183420499
1671081;ALANG ALANG LEBAR;0.181851998
1672010;RAMBANG KAPAK TENGAH;0.249221669
1672020;PRABUMULIH TIMUR;0.228105084
1672021;PRABUMULIH SELATAN;0.242056679
1672030;PRABUMULIH BARAT;0.244792058
1672031;PRABUMULIH UTARA;0.226780692
1672040;CAMBAI;0.242551436
1673010;DEMPO SELATAN;0.226515689
1673011;DEMPO TENGAH;0.220597636
1673020;DEMPO UTARA;0.233837658
1673030;PAGAR ALAM SELATAN;0.206366142
1673040;PAGAR ALAM UTARA;0.210188935
1674011;LUBUK LINGGAU BARAT I;0.245373583
1674012;LUBUK LINGGAU BARAT II;0.221517161
1674021;LUBUK LINGGAU SELATAN I;0.249853482
1674022;LUBUK LINGGAU SELATAN II;0.233550049
1674031;LUBUK LINGGAU TIMUR I;0.201974152
1674032;LUBUK LINGGAU TIMUR II;0.218097928
1674041;LUBUK LINGGAU UTARA I;0.253259622
1674042;LUBUK LINGGAU UTARA II;0.236969944
