idkec;nmkec;NDTI
6311041;PARINGIN SELATAN;0.206656043
6311050;JUAI;0.199285098
6311060;HALONG;0.189166586
6371010;BANJARMASIN SELATAN;0.178931635
6371020;BANJARMASIN TIMUR;0.160691675
6371030;BANJARMASIN BARAT;0.13757138
6371031;BANJARMASIN TENGAH;0.12973893
6371040;BANJARMASIN UTARA;0.163991107
6372010;LANDASAN ULIN;0.187888539
6372011;LIANG ANGGANG;0.187144248
6372020;CEMPAKA;0.203328538
6372031;BANJAR BARU UTARA;0.178861556
6372032;BANJAR BARU SELATAN;0.159199063
