idkec;nmkec;residential;secondary;service;tertiary;track;unclassified;living_street;footway;path;motorway;motorway_link;services;trunk;trunk_link;primary;proposed;construction;secondary_link;primary_link;tertiary_link;pedestrian;raceway;cycleway;steps;corridor
1609090;SEMENDAWAI SUKU III;498;1;28;40;10;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609091;SEMENDAWAI TIMUR;375;1;23;0;3;54;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609100;CEMPAKA;251;4;70;14;273;25;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609101;SEMENDAWAI BARAT;176;3;28;9;22;44;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1610010;MUARA KUANG;129;0;2;17;63;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1610011;RAMBANG KUANG;169;0;110;14;33;259;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
1610012;LUBUK KELIAT;220;0;28;19;10;80;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1610020;TANJUNG BATU;342;0;20;10;80;26;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
1610021;PAYARAMAN;207;0;15;27;14;9;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
1610030;RANTAU ALAI;61;0;15;1;16;26;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1610031;KANDIS;49;0;4;0;9;30;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1610040;TANJUNG RAJA;270;0;32;8;14;87;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
1610041;RANTAU PANJANG;149;0;4;0;2;59;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1610042;SUNGAI PINANG;99;0;4;0;0;55;0;0;3;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0
1610050;PEMULUTAN;382;0;108;19;26;83;0;0;86;33;19;0;8;0;7;0;10;0;2;0;0;0;0;0;0
1610051;PEMULUTAN SELATAN;132;0;3;0;16;58;1;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1610052;PEMULUTAN BARAT;52;0;25;6;68;34;0;0;7;8;16;0;1;0;0;0;3;0;0;0;0;0;0;0;0
1610060;INDRALAYA;509;0;109;13;20;81;0;1;7;12;2;0;8;2;1;0;7;0;0;0;0;0;0;0;0
1610061;INDRALAYA UTARA;911;0;239;8;1052;122;0;1;48;1;8;0;16;6;4;0;6;0;0;0;0;0;0;0;0
1610062;INDRALAYA SELATAN;167;0;11;5;9;22;1;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1611010;MUARA PINANG;91;0;3;0;3;11;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
1611020;LINTANG KANAN;106;0;11;0;9;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1611030;PENDOPO;144;5;51;0;7;11;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
1611031;PENDOPO BARAT;40;5;8;0;4;11;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
1611040;PASEMAH AIR KERUH;99;0;7;0;7;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1611050;ULU MUSI;121;0;10;0;4;24;0;0;9;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
1611051;SIKAP DALAM;45;0;2;0;10;18;0;0;3;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
1611060;TALANG PADANG;55;8;18;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1611070;TEBING TINGGI;340;13;68;10;7;11;0;0;8;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0
1611071;SALING;59;0;6;12;2;1;2;0;1;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0
1612010;TALANG UBI;623;3;208;9;33;47;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
1612020;TANAH ABANG;179;0;10;19;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1612030;ABAB;67;0;163;7;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1612040;PENUKAL;55;4;37;16;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1612050;PENUKAL UTARA;22;1;82;5;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1613010;ULU RAWAS;36;12;4;16;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1613020;KARANG JAYA;113;0;52;10;4;12;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
1613030;RAWAS ULU;174;19;35;7;78;7;26;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1613040;RUPIT;254;3;96;15;5;9;0;0;1;0;0;0;13;3;0;0;0;0;0;0;0;0;0;0;0
1613050;KARANG DAPO;113;7;70;15;53;8;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1613060;RAWAS ILIR;63;6;124;39;151;26;20;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1613070;NIBUNG;103;6;71;36;187;9;9;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1671010;ILIR BARAT II;648;1;83;27;0;12;3;4;19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1671011;GANDUS;1139;0;158;51;18;56;22;12;20;0;0;0;6;0;0;0;2;0;3;0;0;0;0;0;0
1671020;SEBERANG ULU I;695;0;95;40;4;7;14;16;11;0;0;0;0;1;21;0;1;0;9;0;0;0;0;1;0
1671021;KERTAPATI;986;0;275;9;18;37;5;5;26;0;3;0;15;10;12;0;4;0;2;0;0;0;0;0;0
1671022;JAKABARING;1150;7;481;34;9;5;9;15;20;0;0;0;0;0;43;0;0;0;8;0;3;0;0;0;0
1671030;SEBERANG ULU II;1390;6;82;26;1;9;25;4;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
1671031;PLAJU;1269;5;231;14;8;15;12;3;9;0;0;0;0;0;2;0;0;1;1;0;2;0;0;0;0
1671040;ILIR BARAT I;3361;16;623;28;2;53;33;13;81;0;0;0;20;5;30;0;0;3;13;0;0;0;0;0;0
