;Provinsi;Kecamatan;Rata2 Kapita;SE;VAR;CI LOWER;CI UPPER;RSE;DEFF
56;16;1604040;883884.6529;16740.71177;280251430.6;85107346.08;91669584.51;1.893992809;0.135986318
57;16;1604041;838921.9411;39109.41371;1529546240;76226889.88;91557498.34;4.661865639;0.386273677
58;16;1604042;1165116.989;4.64E-11;2.15E-21;116511698.9;116511698.9;3.98E-15;6.49E-32
59;16;1604043;663061.779;3.46E-11;1.19E-21;66306177.9;66306177.9;5.21E-15;5.76E-31
60;16;1604050;702402.554;149092.6105;22228606508;41018640.7;99461870.09;21.22609174;4.378667574
61;16;1604051;930935.4604;136343.937;18589669159;66370625.44;119816466.6;14.64590649;1.905443919
62;16;1604052;841874.9603;2.91E-11;8.47E-22;84187496.03;84187496.03;3.46E-15;1.92E-32
63;16;1604060;674354.9359;46783.12858;2188661119;58266168.88;76604818.3;6.937463654;0.455094136
64;16;1604061;897799.0557;46375.26448;2150665156;80690520.75;98869290.38;5.165439214;0.226988427
65;16;1604062;559742.6878;1.82E-11;3.31E-22;55974268.78;55974268.78;3.25E-15;3.93E-32
66;16;1604063;790891.3303;2.36E-11;5.59E-22;79089133.03;79089133.03;2.99E-15;3.12E-32
67;16;1604111;1008658.42;117863.3074;13891759230;77765058.28;123966625.8;11.68515575;2.457057738
68;16;1604112;1037425.165;145855.0997;21273710106;75155442.3;132329590.8;14.05933696;2.277087915
69;16;1604113;860256.4764;125641.037;15785670167;61400456.9;110650838.4;14.60506726;2.052236724
70;16;1604114;725653.9038;47582.15595;2264061564;63239459.19;81891321.58;6.557141868;0.313244173
71;16;1604120;1075014.896;125301.1076;15700367577;82942923.75;132060055.4;11.65575548;4.94818244
72;16;1604121;780552.0914;16293.54603;265479642.1;74861732.8;81248685.48;2.087438648;0.058455673
73;16;1604122;703624.6155;1.46E-11;2.12E-22;70362461.55;70362461.55;2.07E-15;6.38E-32
74;16;1604123;1014166.831;199690.6604;39876359860;62278032.88;140555333.4;19.69011944;2.489807073
75;16;1604131;1020613.926;99685.17152;9937133421;82523458.02;121599327.2;9.767177281;1.769860017
76;16;1604132;887074.3935;59453.85857;3534761299;77054697.2;100360181.5;6.702240422;0.762184381
77;16;1604133;1155549.701;143182.3066;20501172912;87491753.65;143618186.5;12.39083931;1.531134637
78;16;1605030;794591.3456;83659.84364;6998969437;63062106.51;95856162.6;10.52866283;0.930499324
79;16;1605031;606101.1482;16137.93818;260433048.8;57447137.06;63773092.59;2.662581688;0.126801555
80;16;1605032;1074507.312;208898.5356;43638598197;66507370.57;148394091.8;19.44133216;1.825178058
81;16;1605040;890983.0956;39021.33733;1522664767;81450267.98;96746351.14;4.37958223;0.288623125
82;16;1605041;1050643.671;146720.8027;21526993937;76307618.15;133821116;13.96484905;2.101654918
83;16;1605050;758999.296;55012.10401;3026331588;65117755.34;86682103.86;7.247978266;0.874761188
84;16;1605051;951201.6517;86320.06597;7451153789;78201743.12;112038587.2;9.074843995;0.786871555
85;16;1605060;889200.1074;21835.01747;476767987.7;84640425.95;93199595.52;2.455579715;0.04525318
86;16;1605061;961042.8154;16992.17694;288734077.2;92773876.06;99434687.02;1.768097807;0.046361585
87;16;1605070;758833.229;74890.40041;5608572074;61205074.14;90561571.66;9.869151422;1.423555935
88;16;1605071;712736.8812;68245.33424;4657425645;57897848.4;84649527.84;9.575109137;2.202195112
89;16;1605072;775901.866;63540.26101;4037364769;65136524.29;90043848.92;8.189213583;1.606476001
90;16;1605080;937816.7818;61422.82118;3772762961;81743026.45;105820329.9;6.549554494;1.330238189
91;16;1605090;1020817.575;66651.29664;4442395343;89018343.45;115145171.6;6.529207396;0.94926343
92;16;1606010;1015282.598;29060.03415;844485584.9;95832597.79;107223921.9;2.862260636;0.176687129
93;16;1606020;1381604.978;381049.1284;1.45198E+11;63476241;212844754.6;27.58017917;2.911646977
94;16;1606021;1323910.401;196964.9728;38795200500;93786614.84;170995465.4;14.87751532;3.211572824
95;16;1606022;1424532.016;146630.309;21500447503;113714189.2;171192214.1;10.29322664;1.504900806
96;16;1606023;932425.4268;75001.88741;5625283115;78542442.87;107942642.5;8.043741113;1.450699972
97;16;1606030;890105.1651;8743.777709;76453648.62;87296767.57;90724265.45;0.982330858;0.008926105
98;16;1606031;899327.0342;41319.3841;1707291503;81834252.95;98031153.89;4.594478152;0.661204649
99;16;1606040;1089329.523;159564.2258;25460742139;77658938.71;140206965.8;14.64792998;2.980678178
100;16;1606041;645347.1496;84286.84041;7104271466;48014797.8;81054632.12;13.06069771;2.772241628
101;16;1606090;1333470.62;152520.5224;23262509750;103453588.9;163240535.1;11.43786148;3.873612922
102;16;1606091;1047375.928;55119.91778;3038205336;93934287.38;115540898.1;5.262668;0.291768532
103;16;1606092;1133697.186;127978.6121;16378525157;88286371.6;138453065.7;11.28860631;1.215319965
104;16;1606100;942477.2973;85765.00574;7355636210;77438097.49;111057362;9.099954555;2.225848779
105;16;1606101;1577748.591;77361.75403;5984840986;142612233.9;172937484.2;4.903300468;0.568712442
106;16;1606102;1115799.074;123650.8712;15289537951;87344782;135815032.8;11.08182235;2.299050479
107;16;1607010;865118.4172;84365.13902;7117476682;69976578.31;103047105.1;9.751860248;1.917815076
108;16;1607020;1525604.246;164754.1398;27143926578;120269206.6;184851642.6;10.79927119;2.77846238
109;16;1607021;1844965.271;4.37E-11;1.91E-21;184496527.1;184496527.1;2.37E-15;6.88E-32
110;16;1607030;1106282.88;7.28E-11;5.29E-21;110628288;110628288;6.58E-15;1.01E-31
111;16;1607031;571863.3599;88817.04381;7888467272;39778515.28;74594156.7;15.53116532;4.425762277
112;16;1607032;1375464.378;40632.60689;1651008742;129582593.2;145510282.4;2.954100995;0.158599914
113;16;1607040;1068123.405;69705.95534;4858920210;93150224.32;120474456.7;6.526020777;1.412493227
114;16;1607041;1139020.554;69210.66264;4790115822;100337014.7;127467096;6.07633132;0.300557903
115;16;1607050;1073131.643;127236.8362;16189212488;82375202.65;132251125.9;11.8565916;4.169073813
116;16;1607051;853165.031;180740.6153;32667170013;49891993.45;120741012.7;21.1847191;4.346213678
117;16;1607060;724247.9611;83209.04239;6923744735;56116123.48;88733468.73;11.48902681;2.140422297
118;16;1607061;892324.7341;86650.56579;7508320551;72249274.6;106215672.2;9.710653809;0.47883847
119;16;1607070;1195735.417;240609.1197;57892748503;72415020.76;166732062.6;20.1222709;5.258591778
120;16;1607080;1639215.813;23669.56154;560248143.4;159282432.5;168560730.1;1.443956394;0.109887441
121;16;1607081;1400583.13;119296.2051;14231584548;116676686.5;163439939.6;8.517609738;0.819153928
122;16;1607090;2607708.305;199043.2125;39618200462;221759077.7;299782583.3;7.632878729;1.575685267
123;16;1607091;942454.3034;199803.6093;39921482305;55084642.52;133406218.2;21.20034983;4.829758064
124;16;1607100;1427811.287;187197.33;35042840363;106091126.2;179471131.2;13.11078934;1.233685989
125;16;1607101;1584967.824;1.86E-10;3.44E-20;158496782.4;158496782.4;1.17E-14;4.95E-31
126;16;1607110;1744555.772;68577.40291;4702860190;161014653.2;187896501.1;3.930937837;0.972403121
127;16;1607111;1467608.911;54736.20544;2996052186;136032791.9;157488990.2;3.729617955;0.728690547
128;16;1608010;577406.6566;44192.96903;1953018511;49079002.89;66402328.42;7.653699264;1.707164119
129;16;1608020;767470.2164;64865.34484;4207512961;64033647.66;89460395.61;8.451838711;1.042688537
130;16;1608021;714150.322;83873.53103;7034769207;54976122.19;87853942.2;11.74452051;2.068983317
131;16;1608022;612198.5143;87686.95847;7689002686;44033523.38;78406179.49;14.32328835;3.22053854
132;16;1608030;903505.601;242241.433;58680911847;42872111.68;137829008.5;26.81128182;3.455613939
133;16;1608040;736300.8929;4.37E-11;1.91E-21;73630089.29;73630089.29;5.93E-15;9.29E-32
134;16;1608041;972502.994;215652.9055;46506175668;54983106.6;139517492.2;22.1750377;4.66525095
135;16;1608050;1083190.679;192163.5883;36926844682;70655696.67;145982439.1;17.74051347;2.679106353
136;16;1608051;1169531.427;152919.4958;23384372186;86981472.23;146924813.1;13.07527889;0.852930093
137;16;1608060;846701.6577;55510.70053;3081437873;73790268.39;95550063.15;6.556111002;0.989080411
138;16;1608061;602747.8252;117448.9566;13794257401;37255210.03;83294355.01;19.48558778;2.682904658
139;16;1608070;688382.659;96673.67011;9345798492;49890574.73;87785957.07;14.04359463;1.649232709
140;16;1608071;982910.1406;174081.8357;30304485514;64171601.23;132410426.9;17.71085967;1.651272111
141;16;1608080;584925.468;24798.32795;614957069.2;53632163.83;63352929.77;4.239570562;1.250664543
142;16;1608090;777630.882;16874.87428;284761382.1;74455673.61;81070502.78;2.17003654;0.091525933
143;16;1608091;751032.0162;7.28E-11;5.29E-21;75103201.62;75103201.62;9.69E-15;1.02E-30
144;16;1608100;728754.6552;53978.345;2913661729;62295904.31;83455026.74;7.4069297;1.030268786
145;16;1608101;667265.3384;70626.06067;4988040446;52884080.31;80568987.37;10.58440422;1.509350935
146;16;1608102;925897.78;48160.13097;2319398216;83150565.78;102028990.2;5.201452257;0.171027541
147;16;1609010;1127465.873;121370.1015;14730701539;88958484.49;136534690;10.76485812;0.682778013
148;16;1609011;400471.9144;6934.358119;48085322.53;38688082.23;41406300.66;1.731546675;0.104120799
149;16;1609012;819901.6468;2.91E-11;8.47E-22;81990164.68;81990164.68;3.55E-15;1.91E-32
150;16;1609020;1106005.906;199091.516;39637431724;71579370.47;149621810.6;18.00094511;4.134751576
151;16;1609030;1021784.687;109826.4817;12061856089;80652873.79;123704063.5;10.74849557;2.188146032
152;16;1609031;1043826.671;104785.9005;10980084940;83845008.04;124920326.2;10.0386303;1.800674996
153;16;1609032;1531882.697;136926.3552;18748826751;126351197.2;180025342.2;8.938436048;3.442629037
154;16;1609040;926746.7737;57632.08873;3321457651;81378995.54;103970359.2;6.218752562;1.53325149
155;16;1609041;897008.8618;58309.35341;3399980695;78272462.92;101129309.4;6.500421109;0.39313275
156;16;1609050;892905.226;42537.99474;1809480997;80953228.84;97627816.37;4.763998855;0.236727967
157;16;1609051;1369871.042;159144.5654;25326992685;105795342.5;168178865.8;11.61748519;1.878086787
158;16;1609060;913542.3748;30854.20945;951982240.5;85306923.55;97401551.41;3.377425098;0.287078983
159;16;1609061;1004663.67;242665.9121;58886744913;52904722.19;148028011.8;24.15394518;3.469342162
160;16;1609070;838333.266;80461.77013;6474096453;68063109.44;99603543.76;9.597826234;1.674102793
161;16;1609080;1039957.995;141784.3716;20102808036;76206573.28;131785025.7;13.63366331;0.700514897
162;16;1609081;1474932.027;86555.08547;7491782821;130528717.6;164457687.7;5.868411826;0.802808827
163;16;1609090;1068351.316;94476.86725;8925878446;88318005.84;125352257.3;8.843239661;1.983623419
164;16;1609091;1292688.393;157849.5887;24916492646;98330888.41;160206790.2;12.21095428;2.804930313
165;16;1609100;751267.3358;54980.75507;3022883429;64350703.61;85902763.56;7.318400848;0.545584884
166;16;1609101;814884.988;64077.29538;4105899783;68929579.69;94047417.92;7.8633545;1.036568023
167;16;1610010;824284.5385;40411.83124;1633116104;74507880.48;90349027.23;4.902655497;0.454359196
168;16;1610011;926092.2258;33997.19859;1155809512;85945894.1;99272551.06;3.671038115;0.345774417
169;16;1610012;794297.6751;20368.25578;414865843.6;75437662.74;83421872.29;2.564310135;0.069504754
