geo_id;rwi_weight
1601052;-0.402265259
1601070;0.248560131
1601080;-0.095856872
1601081;-0.225955847
1601082;-0.531250807
1601083;-0.249205392
1601090;-0.178661144
1601091;-0.29372529
1601092;-0.454515016
1601093;-0.512111541
1601130;0.559726489
1601131;0.07578834
1601140;0.103518048
1602010;-0.193596659
1602011;-0.200406932
1602020;-0.103996037
1602021;-0.24928301
1602022;-0.213125765
1602023;-0.176625216
1602030;-0.33488609
1602031;-0.423666488
1602040;-0.000620082
1602041;-0.303317612
1602050;-0.305275483
1602051;-0.214309587
1602060;0.249549351
1602120;0.105805509
1602121;-0.129501127
1602130;-0.060158244
1602131;-0.382764324
1602140;-0.338806119
1603010;-0.024986391
1603011;-0.438304677
1603012;-0.441547908
1603020;-0.074655409
1603021;-0.049839637
1603031;-0.113462801
1603032;-0.334542285
1603033;-0.174028127
1603040;0.827832361
1603050;0.985262162
1603051;0.498734009
1603060;-0.114137356
1603061;-0.164569067
1603062;0.438522624
1603070;-0.117731129
1603071;0.146369228
1603090;0.022405633
1603091;-0.18806007
1603092;-0.366056787
1603093;-0.023455818
1603094;-0.279234568
1603095;-0.261779136
1604011;0.330114812
1604012;-0.127520284
1604040;-0.276141662
1604041;-0.203157471
1604042;-0.188504334
1604043;-0.514230068
1604050;0.424035686
1604051;-0.188376932
1604052;-0.508749105
1604060;-0.046643536
1604061;-0.388464779
1604062;-0.089134587
1604063;0.143850363
1604111;-0.35946597
1604112;-0.304637325
1604113;-0.33061125
1604114;-0.319312844
1604120;0.573935166
1604121;-0.0079173
1604122;-0.28122379
1604123;0.529059599
1604131;0.334483473
1604132;0.424851545
1604133;-0.106902128
1605030;-0.203191508
1605031;-0.36236372
1605032;-0.181815655
1605040;0.130883828
1605041;-0.152600948
1605050;0.21523442
1605051;-0.255188954
1605060;-0.06676272
1605061;-0.320207502
1605070;-0.332661089
1605071;-0.083314769
1605072;-0.267073614
1605080;-0.231694436
1605090;-0.12899143
1606010;-0.015899782
1606020;-0.044400109
1606021;-0.29949666
1606022;-0.156670296
1606023;-0.179045757
1606030;-0.355703152
1606031;-0.309823655
1606040;0.298359724
1606041;-0.069396501
1606090;0.015386722
1606091;-0.067108122
1606092;-0.02911444
1606100;-0.065516953
1606101;-0.350008893
1606102;-0.050039752
1607010;-0.244811066
1607020;0.039289113
1607021;-0.21970134
1607030;-0.421586796
1607031;-0.155766265
1607032;-0.41075664
1607040;0.179273388
1607041;0.196545841
1607050;0.579791679
1607051;-0.298630625
1607060;0.144887065
1607061;-0.296986708
1607070;0.302945117
1607080;-0.447953193
1607081;-0.417118199
1607090;-0.248505397
1607091;-0.42953907
1607100;-0.240087355
1607101;-0.569819622
1607110;-0.338953342
1607111;-0.213456547
1608010;-0.504187878
1608020;-0.463820952
1608021;-0.219670709
1608022;-0.156037199
1608030;-0.470619053
1608040;-0.089515972
1608041;-0.405201797
1608050;0.487326925
1608051;-0.066099746
1608060;-0.30381246
1608061;-0.35320543
1608070;-0.522418803
1608071;-0.419423033
1608080;-0.484887728
1608090;-0.327851666
1608091;-0.414563438
1608100;-0.264551686
1608101;-0.521775485
1608102;-0.357167334
1609010;0.371983553
1609011;-0.287701294
1609012;-0.486999755
1609020;0.05698416
1609030;0.135786643
1609031;-0.087561977
1609032;-0.073045846
1609040;-0.354610832
1609041;-0.004512089
1609050;-0.306793348
1609051;-0.019141668
1609060;0.288470504
1609061;-0.100191175
1609070;-0.074967445
1609080;0.014594028
1609081;0.156800784
1609090;-0.233054086
1609091;-0.364870179
1609100;-0.175683488
1609101;-0.288954315
1610010;-0.324759257
1610011;-0.356537653
1610012;0.009407063
1610020;0.038984146
1610021;-0.172053877
1610030;-0.246738612
1610031;-0.172527777
1610040;0.329959399
1610041;-0.304081506
1610042;-0.192473407
1610050;0.562262079
1610051;-0.428619846
1610052;-0.05727957
1610060;0.293694448
1610061;0.062466926
1610062;0.079511511
1611010;-0.039613947
1611020;0.039079948
1611030;0.193203726
1611031;-0.26272561
1611040;-0.319306985
1611050;-0.253556638
1611051;-0.049071207
1611060;-0.000701275
1611070;0.296116279
1611071;-0.275636498
1612010;0.197679442
1612020;0.066608374
1612030;-0.066917945
1612040;0.066813379
1612050;-0.128557563
1613010;-0.129461694
1613020;0.055369693
1613030;-0.287134303
1613040;-0.012891196
1613050;-0.245397244
1613060;-0.203414133
1613070;-0.07053999
1671010;1.138
1671011;0.760602843
1671020;0.934264633
1671021;0.934264633
1671022;1.149562042
1671030;1.114
1671031;1.074463682
1671040;1.160064891
1671041;1.160064891
1671050;1.420687153
1671051;1.47
1671060;1.12
1671061;1.086072543
1671062;1.208
1671070;0.828280277
1671071;0.68406187
1671080;1.121344409
1671081;1.138232919
1672010;-0.156782066
1672020;0.682215802
1672021;0.287687898
1672030;0.409282689
1672031;0.261992257
1672040;0.193644997
1673010;-0.163129787
1673011;-0.219463364
1673020;0.25813709
1673030;0.56257166
1673040;0.71988894
1674011;0.807806801
1674012;-0.326
1674021;-0.213841082
1674022;0.430633415
1674031;0.905379329
1674032;0.799993615
1674041;-0.00326308
1674042;0.940844602
