idkec;nmkec;Trees;Crops;Shrub and Scrub;Built Area;Cloud;Water;Grass;Flooded Vegetation;Bare Ground
1610040;TANJUNG RAJA;0.5635;0.1437;0.1102;0.0926;0;0.0326;0.0306;0.0269;0
1610041;RANTAU PANJANG;0.2105;0.4702;0.179;0.0159;0;0.0419;0;0.0826;0
1610042;SUNGAI PINANG;0.2629;0.3197;0.0913;0.1306;0;0.1051;0.0002;0.0902;0
1610050;PEMULUTAN;0.0606;0.4012;0.1515;0.055;0;0.1177;0.0045;0.2095;0
1610051;PEMULUTAN SELATAN;0.1209;0.3008;0;0.018;0;0.0748;0;0.4856;0
1610052;PEMULUTAN BARAT;0.1475;0.2273;0.244;0.0003;0;0.0991;0.0377;0.2442;0
1610060;INDRALAYA;0.3081;0.1516;0.0549;0.136;0;0.0679;0.0471;0.2344;0
1610061;INDRALAYA UTARA;0.4653;0.2315;0.1885;0.0454;0.0009;0.0032;0.0191;0.0461;0
1610062;INDRALAYA SELATAN;0.4205;0.1662;0.1368;0.1207;0;0.0263;0.0449;0.0846;0
1611010;MUARA PINANG;0.8883;0.0445;0.0331;0.034;0;0;0;0;0
1611020;LINTANG KANAN;0.8135;0.1464;0.0176;0.0226;0;0;0;0;0
1611030;PENDOPO;0.7607;0.1658;0.0329;0.0333;0;0.0073;0;0;0
1611031;PENDOPO BARAT;0.9474;0.0161;0.0219;0.0036;0;0.011;0;0;0
1611040;PASEMAH AIR KERUH;0.608;0.364;0.0094;0.0094;0;0;0.0094;0;0
1611050;ULU MUSI;0.97;0.0143;0;0.0138;0;0;0.0019;0;0
1611051;SIKAP DALAM;0.8863;0;0.0989;0.0093;0;0;0.0055;0;0
1611060;TALANG PADANG;0.9756;0.0081;0.0163;0;0;0;0;0;0
1611070;TEBING TINGGI;0.9607;0.0084;0.0083;0.0142;0;0.0028;0.0057;0;0
1611071;SALING;0.9914;0;0;0.0086;0;0;0;0;0
1612010;TALANG UBI;0.9655;0.0115;0.0014;0.0195;0;0.0015;0;0.0006;0
1612020;TANAH ABANG;0.5707;0.0364;0.0022;0.0346;0;0.0333;0;0.3228;0
1612030;ABAB;0.3841;0.4766;0.0382;0.0107;0;0.0098;0.0049;0.0758;0
1612040;PENUKAL;0.8712;0.0918;0.0115;0.0057;0;0.0003;0;0.0195;0
1612050;PENUKAL UTARA;0.8722;0.0805;0.0209;0.006;0.003;0;0.0077;0.0097;0
1613010;ULU RAWAS;0.9993;0;0;0;0;0.0007;0;0;0
1613020;KARANG JAYA;0.9854;0.0075;0.0028;0.0014;0;0;0.0021;0.0007;0
1613030;RAWAS ULU;0.9531;0;0.0325;0.0062;0;0.0062;0.0021;0;0
1613040;RUPIT;0.8851;0.0922;0.0101;0.0101;0;0;0.0025;0;0
1613050;KARANG DAPO;0.7516;0.2203;0.0185;0.0019;0;0.0038;0.0038;0;0
1613060;RAWAS ILIR;0.8501;0.0843;0.0396;0.003;0;0.004;0.0101;0.0089;0
1613070;NIBUNG;0.8974;0.0454;0.0475;0.0049;0;0;0.0048;0;0
1671010;ILIR BARAT II;0;0;0;0.9826;0;0.0174;0;0;0
1671011;GANDUS;0.4752;0.2025;0.0018;0.2232;0;0.0675;0;0.0297;0
1671020;SEBERANG ULU I;0;0;0;0.9466;0;0.0534;0;0;0
1671021;KERTAPATI;0.0311;0.555;0.0663;0.2282;0;0.084;0;0.0353;0
1671022;JAKABARING;0.0502;0.0804;0;0.802;0;0.0674;0;0;0
1671030;SEBERANG ULU II;0;0;0;0.9534;0;0.0466;0;0;0
1671031;PLAJU;0.0132;0.1227;0;0.7318;0;0.0888;0.0434;0;0
1671040;ILIR BARAT I;0.4098;0.0932;0.0001;0.4969;0;0;0;0;0
1671041;BUKIT KECIL;0;0;0;1;0;0;0;0;0
1671050;ILIR TIMUR I;0;0;0;1;0;0;0;0;0
1671051;KEMUNING;0;0;0;1;0;0;0;0;0
1671060;ILIR TIMUR II;0;0.0615;0;0.7951;0;0.1434;0;0;0
1671061;KALIDONI;0;0.2311;0;0.643;0;0.1259;0;0;0
1671062;ILIR TIMUR TIGA;0;0;0;0.8734;0;0;0.1266;0;0
1671070;SAKO;0.2909;0;0;0.7091;0;0;0;0;0
1671071;SEMATANG BORANG;0.449;0.169;0;0.382;0;0;0;0;0
1671080;SUKARAMI;0.0865;0.0581;0;0.8554;0;0;0;0;0
1671081;ALANG ALANG LEBAR;0.1493;0.1219;0.0126;0.7162;0;0;0;0;0
1672010;RAMBANG KAPAK TENGAH;0.9879;0;0;0.0078;0;0;0.0043;0;0
1672020;PRABUMULIH TIMUR;0.7628;0;0;0.2372;0;0;0;0;0
1672021;PRABUMULIH SELATAN;0.8788;0;0;0.1212;0;0;0;0;0
1672030;PRABUMULIH BARAT;0.9097;0;0.0001;0.0477;0;0.0095;0.0033;0.0297;0
1672031;PRABUMULIH UTARA;0.8151;0;0;0.1849;0;0;0;0;0
1672040;CAMBAI;0.8863;0;0;0.0556;0;0;0;0.058;0
1673010;DEMPO SELATAN;0.931;0.0561;0.0128;0;0;0;0;0;0
1673011;DEMPO TENGAH;0.9555;0.0234;0.0158;0.0053;0;0;0;0;0
1673020;DEMPO UTARA;0.8648;0.074;0;0.0565;0;0;0.0047;0;0
1673030;PAGAR ALAM SELATAN;0.4519;0.3253;0.0092;0.1646;0;0;0.0491;0;0
1673040;PAGAR ALAM UTARA;0.6251;0.2152;0.0014;0.1583;0;0;0;0;0
1674011;LUBUK LINGGAU BARAT I;0.8955;0;0;0.1045;0;0;0;0;0
1674012;LUBUK LINGGAU BARAT II;0.7968;0;0;0.2032;0;0;0;0;0
1674021;LUBUK LINGGAU SELATAN I;0.9508;0.0246;0;0.0246;0;0;0;0;0
1674022;LUBUK LINGGAU SELATAN II;0.6148;0.1992;0;0.186;0;0;0;0;0
1674031;LUBUK LINGGAU TIMUR I;0.4782;0;0;0.5218;0;0;0;0;0
1674032;LUBUK LINGGAU TIMUR II;0.6414;0;0;0.3586;0;0;0;0;0
1674041;LUBUK LINGGAU UTARA I;0.963;0.0215;0;0.0156;0;0;0;0;0
1674042;LUBUK LINGGAU UTARA II;0.7433;0;0;0.2567;0;0;0;0;0
